M,SBD,,124.4,120+,182.5,150.0,210.0,542.5
M,D,35.0,132.72,140,,,195.0,195.0
F,SBD,,59.4,63,102.5,40.0,132.5,275.0
M,D,,69.8,75,,,180.0,180.0
M,B,22.5,125.3,140,,180.0,,180.0
M,SBD,,89.9,90,210.0,132.5,245.0,587.5
M,SBD,23.5,113.0,125,257.5,142.5,277.5,677.5
F,SBD,,56.25,60.1,72.57,38.56,81.65,192.78
F,SBD,16.5,52.16,56,165.56,77.11,151.95,394.63
M,B,33.0,82.15,82.5,,100.0,,100.0
F,SBD,41.5,79.7,84,150.0,67.5,150.0,367.5
M,SBD,22.5,82.7,83,172.5,107.5,195.0,475.0
M,B,27.0,74.9,75,,150.0,,150.0
M,SBD,30.5,73.5,74,160.0,115.0,160.0,435.0
F,SBD,,58.79,60.1,90.72,38.56,77.11,206.38
F,SBD,26.0,95.7,75+,240.0,145.0,245.0,630.0
M,SBD,20.5,92.2,93,280.0,195.0,275.0,750.0
M,D,27.0,81.6,82.5,,,240.0,240.0
M,SBD,21.0,109.2,110,240.0,160.0,220.0,620.0
F,SBD,34.5,61.9,63,112.5,62.5,137.5,312.5
M,D,14.5,61.0,67.5,,,140.0,140.0
M,SBD,,99.4,100,170.0,112.5,195.0,477.5
F,D,23.0,60.0,60,,,150.0,150.0
F,SBD,31.5,61.09,63,115.0,55.0,155.0,325.0
M,D,50.0,119.5,125,,,240.0,240.0
F,SBD,27.5,93.5,84+,125.0,70.0,152.5,347.5
M,SBD,20.5,126.15,125+,320.0,230.0,280.0,830.0
M,SBD,30.5,131.0,125+,230.0,175.0,250.0,655.0
F,SBD,,106.87,100+,,,,
M,SBD,,72.4,74,145.0,125.0,202.5,472.5
M,SBD,15.5,78.43,82.1,142.88,95.25,174.63,412.77
M,D,38.5,97.5,100,,,240.0,240.0
M,SBD,20.0,96.9,100,190.0,115.0,230.0,535.0
F,SBD,17.5,83.69,90,147.42,77.11,133.81,358.34
M,SBD,,117.5,120,255.0,190.0,230.0,675.0
M,SB,,63.8,67.5,170.0,75.0,,245.0
M,B,33.5,98.2,100,,220.0,,220.0
M,BD,36.5,102.8,105,,142.5,275.0,417.5
M,SBD,,82.5,83,337.5,255.0,305.0,897.5
F,SBD,,55.34,56,136.08,61.23,113.4,310.71
F,SBD,,55.79,56,102.06,49.9,104.33,256.28
M,SBD,39.0,155.3,120+,290.0,172.5,287.5,750.0
F,SBD,27.5,42.6,47,70.0,40.0,82.5,192.5
F,SBD,,77.11,82.3,113.4,49.9,106.59,269.89
F,SBD,,108.86,117.7,122.47,70.31,124.74,317.51
F,SBD,,53.21,56,70.31,34.02,79.38,183.7
M,B,,90.2,93,,200.0,,200.0
F,BD,38.0,68.4,72,,72.5,150.0,222.5
F,B,35.0,67.5,67.5,,90.0,,90.0
F,SBD,41.5,68.8,69,112.5,55.0,140.0,307.5
F,SBD,,59.06,60.1,108.86,61.23,111.13,281.23
M,B,17.5,82.2,82.5,,115.0,,115.0
F,SBD,,50.71,51.9,68.04,34.02,90.72,192.78
F,B,27.5,82.85,84,,90.0,,90.0
M,SBD,47.5,122.8,120+,225.0,137.5,215.0,577.5
M,SBD,40.0,100.0,100,190.51,151.95,226.8,569.26
M,SBD,39.5,140.3,125+,200.0,270.0,165.0,635.0
M,SBD,46.0,97.3,100,205.0,155.0,215.0,575.0
F,D,37.0,97.7,90+,,,227.5,227.5
M,B,26.5,116.7,120,,187.5,,187.5
M,SBD,20.0,54.8,59,137.5,77.5,152.5,367.5
M,SBD,22.5,97.9,105,190.0,142.5,227.5,560.0
M,D,42.0,97.0,100,,,285.0,285.0
F,SBD,,73.89,75,90.72,43.09,97.52,231.33
F,B,17.5,74.8,,,70.0,,70.0
F,SBD,34.0,51.4,52,97.5,67.5,107.5,272.5
F,SBD,,60.87,67.3,92.99,52.16,99.79,244.94
M,SBD,,75.0,75,165.0,92.5,175.0,432.5
M,SBD,40.5,147.0,,415.0,,,
M,SBD,23.5,83.0,83,210.0,132.5,235.0,577.5
M,SBD,21.5,107.57,110,277.5,185.0,347.5,810.0
F,D,10.5,70.0,72,,,107.5,107.5
M,B,24.0,99.6,100,,170.0,,170.0
F,SBD,,74.2,75,112.5,55.0,135.0,302.5
F,SBD,,66.41,67.3,79.38,27.22,86.18,192.78
M,B,19.5,89.2,90,,,,
F,D,40.5,67.9,72,,,135.0,135.0
M,SBD,28.0,63.3,67.5,40.0,40.0,100.0,180.0
M,SBD,40.0,98.9,100,180.0,140.0,230.0,550.0
M,SBD,25.5,88.2,93,220.0,140.0,260.0,620.0
M,SBD,25.5,86.7,90,240.0,150.0,260.0,650.0
M,B,39.5,72.8,74,,160.0,,160.0
M,SBD,29.0,71.6,74,140.0,,200.0,
F,SBD,22.0,59.4,60,95.0,60.0,130.0,285.0
M,B,28.0,97.6,100,,,,
M,SBD,21.5,96.7,100,260.0,162.5,250.0,672.5
F,B,13.0,43.25,44,,27.5,,27.5
M,SBD,17.5,73.6,74,175.0,112.5,200.0,487.5
F,SBD,,87.63,90,97.52,49.9,124.74,272.16
M,SBD,,88.8,93,215.0,150.0,232.5,597.5
M,B,20.5,99.6,93+,,210.0,,210.0
M,BD,50.5,91.3,93,,160.0,215.0,375.0
M,B,47.0,106.5,110,,147.5,,147.5
M,D,34.0,74.3,75,,,230.0,230.0
M,SBD,16.5,52.45,53,100.0,80.0,165.0,345.0
F,SBD,75.5,50.21,52,85.0,50.0,110.0,245.0
M,B,21.5,104.9,110,,,,
F,SBD,33.0,88.22,90,185.0,92.5,212.5,490.0
M,B,,88.8,90,,125.0,,125.0
M,SBD,29.5,99.1,100,230.0,,,
M,BD,46.0,107.23,110,,182.5,237.5,420.0
F,SBD,,,,,,,
M,SBD,44.5,104.1,110,180.0,150.0,245.0,575.0
F,BD,23.5,86.76,84+,,32.5,72.5,105.0
M,B,19.5,101.55,105,,155.0,,155.0
M,B,35.5,94.3,100,,150.0,,150.0
M,SBD,34.0,112.5,125,250.0,165.0,305.0,720.0
M,D,33.0,98.0,100,,,,
F,SBD,,76.1,84,105.0,57.5,120.0,282.5
M,SBD,,73.84,74.8,154.22,102.06,174.63,430.91
F,SBD,22.0,76.2,84,125.0,70.0,170.0,365.0
F,SBD,14.5,59.2,60,130.0,57.5,127.5,315.0
M,SBD,56.5,99.7,100,230.0,150.0,245.0,625.0
M,SBD,,79.8,82.5,125.0,82.5,125.0,332.5
M,SBD,,89.36,90,188.24,122.47,238.14,548.85
F,SBD,,44.0,44.2,,,,
M,B,38.0,97.1,100,,180.0,,180.0
M,B,58.0,112.8,125,,160.0,,160.0
M,D,43.0,90.0,90,,,210.0,210.0
M,D,,131.5,120+,,,260.0,260.0
M,SBD,18.5,118.4,120,240.0,165.0,240.0,645.0
M,D,56.0,125.1,140,,,220.0,220.0
M,B,40.0,120.47,125,,207.5,,207.5
M,D,43.0,125.2,140,,,272.5,272.5
M,SBD,31.5,89.9,93,227.5,137.5,272.5,637.5
M,B,,74.0,74,,142.5,,142.5
M,D,45.0,89.0,90,,,230.0,230.0
M,SBD,32.5,93.2,100,170.0,130.0,202.5,502.5
M,SBD,22.0,88.8,90,330.0,177.5,325.0,832.5
F,SBD,,82.1,84,106.6,45.4,136.1,288.1
M,SBD,18.5,82.5,82.5,165.0,115.0,220.0,500.0
M,SBD,19.5,82.7,83,325.0,187.5,290.0,802.5
M,SBD,,71.5,75,150.0,95.0,175.0,420.0
M,SBD,,124.7,120+,280.0,180.0,175.0,635.0
M,B,49.0,100.15,110,,137.5,,137.5
F,SBD,,58.06,60.1,,27.22,,
M,SBD,,89.1,90,240.0,140.0,210.0,590.0
M,D,29.0,97.45,100,,,260.0,260.0
F,SBD,,47.63,47.8,104.33,43.09,92.99,240.4
M,SBD,16.5,54.8,59,105.0,72.5,117.5,295.0
M,B,34.5,98.38,100,,220.0,,220.0
M,SBD,48.5,91.5,93,195.0,140.0,222.5,557.5
M,SBD,47.0,91.62,93,165.0,167.5,250.0,582.5
F,SBD,30.5,84.0,84,135.0,70.0,140.0,345.0
M,SBD,21.0,59.9,60,190.0,150.0,205.0,545.0
M,SBD,40.0,98.8,100,240.0,180.0,240.0,660.0
M,SBD,,94.0,105,190.0,130.0,250.0,570.0
M,B,32.0,104.4,110,,,,
F,SBD,,47.04,47.8,45.36,27.22,61.23,133.81
M,SBD,25.0,121.3,125,290.0,190.0,290.0,770.0
M,SBD,14.5,50.9,52,120.0,60.0,145.0,325.0
F,SBD,47.0,67.5,67.5,110.0,70.0,122.5,302.5
F,SBD,,78.47,82.3,120.2,79.38,124.74,324.32
M,SBD,14.0,74.0,74,50.0,32.5,62.5,145.0
F,SBD,,51.39,51.9,79.38,40.82,102.06,222.26
M,SBD,,123.83,125,324.32,229.06,229.06,782.45
M,SBD,25.0,97.8,105,207.5,120.0,205.0,532.5
M,SBD,30.5,82.1,83,180.0,115.0,242.5,537.5
M,SBD,23.5,105.0,105,262.5,162.5,262.5,687.5
M,B,22.0,108.0,110,,175.0,,175.0
F,B,36.5,55.5,56,,67.5,,67.5
F,SBD,,59.69,60.1,140.61,77.11,142.88,360.61
M,B,39.5,98.2,100,,250.5,,250.5
M,SBD,53.5,94.8,105,140.0,107.5,195.0,442.5
F,SBD,18.5,42.44,43,77.5,32.5,87.5,197.5
F,SBD,,101.24,117.7,174.63,104.33,154.22,433.18
M,B,28.5,72.2,74,,180.0,,180.0
M,B,16.0,66.2,67.5,,130.0,,130.0
M,SBD,19.5,81.7,83,200.0,132.5,252.5,585.0
F,B,28.5,56.7,57,,70.0,,70.0
M,D,22.0,89.2,90,,,235.0,235.0
M,SBD,,103.3,105,212.5,150.0,220.0,582.5
M,SBD,60.0,110.0,110,113.4,108.86,154.22,376.48
F,SBD,31.5,86.3,84+,,47.5,120.0,
F,SBD,20.5,61.44,63,125.0,67.5,155.0,347.5
F,BD,29.5,,90+,,47.5,107.5,155.0
F,SBD,28.0,73.6,75,102.5,50.0,115.0,267.5
M,SBD,,81.6,83,170.0,130.0,200.0,500.0
M,B,19.5,73.8,74,,165.0,,165.0
M,SBD,,70.7,75,170.0,142.5,200.0,512.5
F,SBD,,81.1,82.3,163.29,70.31,149.69,383.29
M,SBD,53.5,112.9,120,150.0,110.0,175.0,435.0
M,SBD,23.5,89.65,90,315.0,200.0,302.5,817.5
M,SBD,17.5,138.8,120+,135.0,102.5,120.0,357.5
F,BD,39.5,56.7,60,,49.9,120.2,170.1
M,SBD,21.5,70.97,74,145.0,110.0,205.0,460.0
F,SBD,,74.43,75,156.49,74.84,142.88,374.21
M,SBD,33.0,98.7,100,210.0,140.0,210.0,560.0
F,SBD,,71.5,72,135.0,60.0,170.0,365.0
F,SBD,,46.81,47.8,131.54,61.23,142.88,335.66
M,B,37.0,95.0,100,,135.0,,135.0
M,B,24.5,87.9,90,,,,
M,B,22.0,80.7,82.5,,117.5,,117.5
M,SBD,27.5,95.6,100,220.0,160.0,225.0,605.0
M,B,44.5,110.0,110,,120.0,,120.0
F,B,,69.35,69.8,,99.79,,99.79
M,B,66.5,65.8,66,,87.5,,87.5
M,SBD,27.0,118.25,125,240.0,155.0,270.0,665.0
M,SBD,16.5,64.1,67.5,80.0,75.0,130.0,285.0
M,SBD,33.5,91.0,93,225.0,167.5,260.0,652.5
M,SBD,,117.71,118,61.23,88.45,117.93,267.62
M,SB,21.5,58.7,59,175.0,132.5,,307.5
F,SBD,,54.61,56,83.91,38.56,86.18,208.65
M,D,27.0,75.0,75,,,165.0,165.0
M,SBD,50.0,99.7,100,245.5,80.0,250.0,575.5
M,B,53.0,73.6,75,,180.0,,180.0
M,B,51.0,97.5,100,,210.0,,210.0
M,B,41.0,82.5,82.5,,150.0,,150.0
M,SBD,,151.0,125+,272.5,182.5,295.0,750.0
F,SBD,,45.8,47,107.5,47.5,117.5,272.5
M,B,48.0,99.9,100,,220.0,,220.0
F,D,41.0,78.2,82.5,,,160.0,160.0
M,B,18.0,109.7,110,,140.0,,140.0
F,SBD,,53.43,56,97.52,47.63,102.06,247.21
F,SBD,,56.25,60.1,83.91,36.29,92.99,213.19
F,SBD,26.5,71.65,72,125.0,72.5,182.5,380.0
M,B,23.0,97.3,100,,170.0,,170.0
M,B,15.0,80.4,82.5,,100.0,,100.0
F,SBD,,58.79,60.1,70.31,36.29,90.72,197.31
F,SBD,16.5,81.1,82.3,131.54,54.43,133.81,319.78
M,SBD,,120.0,120,255.0,145.0,260.0,660.0
M,SBD,37.5,92.3,100,192.5,127.5,210.0,530.0
F,SBD,,146.15,117.7+,54.43,40.82,68.04,163.29
M,SBD,,109.0,110,197.5,142.5,172.5,512.5
F,SBD,,88.5,84+,140.0,82.5,152.5,375.0
F,SBD,20.0,60.55,63,102.5,50.0,140.0,292.5
F,SBD,32.5,109.0,84+,122.5,67.5,140.0,330.0
F,SBD,,51.35,51.9,113.4,52.16,106.59,272.16
F,SBD,23.5,58.9,60,102.5,57.5,117.5,277.5
M,B,33.0,107.32,110,,238.14,,238.14
F,SBD,,55.79,56,97.52,43.09,99.79,240.4
M,B,38.0,106.0,110,,210.0,,210.0
F,SBD,45.5,65.6,72,97.5,52.5,130.0,280.0
M,SBD,29.5,82.0,82.5,190.0,122.5,235.0,547.5
M,B,31.0,73.9,75,,117.5,,117.5
F,SBD,25.5,55.9,57,117.5,65.0,115.0,297.5
M,B,26.5,86.2,90,,170.0,,170.0
F,B,,75.01,82.5,,85.0,,85.0
M,SBD,54.5,88.75,90,250.0,195.5,215.0,660.5
M,SBD,20.5,98.3,105,240.0,170.0,230.0,640.0
M,B,21.0,78.95,82.5,,205.0,,205.0
M,SBD,28.0,110.0,110,272.16,201.85,274.42,748.43
M,SBD,21.5,81.6,83,177.5,115.0,245.0,537.5
M,SBD,,60.0,60,75.0,60.0,110.0,245.0
M,SBD,24.0,81.19,82.5,206.38,115.67,215.46,537.51
F,SBD,,55.79,56,36.29,27.22,68.04,131.54
M,SBD,52.5,91.91,93,200.0,155.5,230.5,586.0
F,SBD,14.0,59.3,60,95.0,60.0,107.5,262.5
M,SBD,53.5,146.96,140+,238.14,165.56,254.01,657.71
F,B,35.0,,90+,,120.2,,120.2
F,S,,53.34,56,40.82,,,40.82
M,SBD,24.0,116.03,125,294.84,181.44,249.48,725.75
M,B,19.5,63.0,66,,122.5,,122.5
F,SBD,54.5,45.5,47,80.0,51.0,108.0,239.0
F,SBD,50.5,110.56,84+,52.5,45.0,95.0,192.5
M,SBD,23.0,74.9,75,160.0,110.0,220.0,490.0
F,SBD,,89.99,90,111.13,54.43,113.4,278.96
F,D,27.0,102.5,100+,,,165.0,165.0
F,SBD,24.0,88.8,90,167.5,107.5,170.0,445.0
F,SBD,38.5,68.6,72,127.5,67.5,152.5,347.5
M,SBD,16.5,82.65,83,200.0,132.5,230.0,562.5
M,B,42.5,58.5,59,,110.0,,110.0
M,SBD,29.0,81.4,82.5,250.0,150.0,272.5,672.5
F,SBD,37.5,55.8,56,160.0,107.5,160.0,427.5
M,SBD,,104.4,105,260.0,185.0,255.0,700.0
F,SBD,37.0,55.8,57,137.5,70.0,150.0,357.5
M,B,33.0,100.0,100,,190.0,,190.0
M,SBD,,105.3,110,245.0,147.5,260.0,652.5
M,SBD,45.0,95.5,105,222.5,130.0,250.0,602.5
F,SBD,,107.14,117.7,142.88,68.04,140.61,351.53
M,SBD,39.5,86.18,93,240.0,,,
M,SBD,,92.4,93,247.5,142.5,300.0,690.0
M,D,23.0,73.4,75,,,205.0,205.0
F,B,23.0,54.84,55,,115.0,,115.0
M,SBD,47.5,75.4,83,230.0,130.0,180.0,540.0
M,B,43.0,124.01,125,,249.48,,249.48
M,SBD,,37.6,53,45.0,25.0,70.0,140.0
M,SBD,,91.5,93,205.0,130.0,200.0,535.0
M,B,28.5,102.2,105,,202.5,,202.5
M,BD,36.0,81.9,82.5,,137.5,252.5,390.0
M,D,20.5,95.5,100,,,,
F,SBD,,130.54,100+,131.54,65.77,158.76,356.07
F,SBD,10.5,83.0,84,60.0,37.5,75.0,172.5
M,SBD,17.5,120.0,120,147.5,105.0,197.5,450.0
F,SBD,,69.67,75,163.29,70.31,136.08,369.68
F,SBD,,59.92,60.1,99.79,47.63,102.06,249.48
M,B,43.0,98.8,100,,,,
M,B,42.5,74.65,75,,110.0,,110.0
F,SBD,,78.83,82.3,113.4,72.57,115.67,301.64
M,SBD,26.5,118.19,120,210.0,140.0,250.0,600.0
M,SBD,29.5,82.7,83,120.0,102.5,165.0,387.5
M,SBD,15.5,66.0,66,145.0,105.0,170.0,420.0
F,SBD,42.0,55.3,56,155.0,77.5,,
M,D,46.0,97.5,100,,,290.0,290.0
M,D,46.5,107.1,110,,,210.0,210.0
F,SBD,21.5,56.88,57,142.5,87.5,137.5,367.5
F,SBD,,87.45,90,192.78,74.84,127.01,394.63
F,SBD,22.5,74.22,75,185.0,,157.5,
M,B,41.0,98.3,100,,150.0,,150.0
F,SBD,,45.27,47.8,65.77,36.29,92.99,195.04
F,SBD,,66.5,67.3,99.79,47.63,92.99,240.4
M,SBD,18.5,102.46,105,200.0,122.5,272.5,595.0
F,SBD,,43.91,44.2,77.11,34.02,97.52,208.65
M,SBD,31.5,80.0,82.5,220.0,150.0,250.0,620.0
F,SBD,35.5,88.8,84+,165.0,92.5,205.0,462.5
F,D,,82.5,82.5,,,133.81,133.81
M,SBD,19.5,84.7,90,230.0,127.5,245.0,602.5
M,SBD,,73.4,74,155.0,100.0,202.5,457.5
M,D,18.0,104.1,110,,,190.0,190.0
M,SBD,26.5,91.9,93,255.0,170.0,270.0,695.0
M,B,27.5,80.6,82.5,,160.0,,160.0
M,B,17.5,61.4,67.5,,87.5,,87.5
M,SBD,30.0,103.6,110,365.0,195.0,325.0,885.0
M,B,37.5,107.2,110,,205.0,,205.0
M,SBD,20.5,87.32,93,215.0,130.0,215.0,560.0
F,SBD,15.5,84.6,84+,187.5,105.0,170.0,462.5
F,SBD,,64.59,67.3,108.86,61.23,122.47,292.57
M,SBD,22.5,89.5,90,170.0,105.0,212.5,487.5
F,SBD,17.5,82.1,82.5,77.5,50.0,120.0,247.5
M,B,,81.45,82.5,,130.0,,130.0
M,SBD,34.0,109.6,110,340.0,185.0,310.0,835.0
M,SBD,18.5,58.85,59,227.5,153.0,232.5,613.0
F,D,,,,,,155.0,155.0
F,SBD,,45.81,47.8,77.11,40.82,86.18,204.12
M,D,17.0,77.8,82.5,,,205.0,205.0
M,SBD,29.0,94.1,100,237.5,155.0,285.0,677.5
F,SBD,,58.97,60.1,140.61,68.04,108.86,317.51
M,B,38.5,87.8,90,,,,
M,B,53.0,87.7,90,,161.0,,161.0
M,SBD,26.5,117.9,120,272.5,180.0,320.0,772.5
F,SBD,,92.62,100,111.13,56.7,124.74,292.57
M,SBD,24.0,80.6,82.5,,,,
F,SBD,,102.78,117.7,90.72,56.7,97.52,244.94
M,B,17.5,67.2,67.5,,100.0,,100.0
M,D,15.0,81.3,82.5,,,185.0,185.0
M,SBD,24.5,81.0,82.5,140.0,110.0,190.0,440.0
M,B,38.0,106.0,110,,167.5,,167.5
F,SBD,,80.1,82.3,142.88,65.77,158.76,367.41
M,SBD,54.5,104.85,105,225.0,142.5,210.0,577.5
F,SBD,,67.22,67.3,83.91,38.56,90.72,213.19
F,SBD,,94.82,84+,100.0,65.0,150.0,315.0
M,B,,90.4,93,,95.0,,95.0
M,SBD,26.5,82.5,83,200.0,172.5,300.0,672.5
F,SBD,47.5,71.3,72,125.0,55.0,137.5,317.5
F,SBD,48.0,100.8,84+,122.5,70.3,158.8,351.5
M,B,25.5,72.3,75,,,,
M,SBD,21.5,75.8,83,145.0,82.5,150.0,377.5
M,B,45.5,74.74,75,,125.0,,125.0
F,SBD,40.5,55.3,57,100.0,57.5,135.0,292.5
M,B,,94.9,100,,155.0,,155.0
M,B,58.5,76.1,83,,162.5,,162.5
M,SBD,,67.2,74,112.5,80.0,150.0,342.5
M,SBD,,75.0,75,195.0,110.0,227.5,532.5
M,B,21.0,81.3,82.5,,190.0,,190.0
M,B,28.5,66.7,67.5,,140.0,,140.0
M,B,26.0,103.9,110,,165.0,,165.0
M,SBD,20.5,71.2,75,200.0,,,
F,B,49.0,47.95,48,,72.5,,72.5
F,SBD,,94.8,100,154.22,65.77,151.95,371.95
F,B,37.0,51.5,52,,57.5,,57.5
F,SBD,,70.76,75,106.59,65.77,117.93,290.3
M,B,28.5,99.4,100,,227.5,,227.5
M,SBD,24.5,131.1,120+,220.0,177.5,282.5,680.0
M,SBD,51.0,66.68,67.5,110.0,97.5,145.0,352.5
M,SBD,37.5,123.6,120+,197.5,147.5,245.0,590.0
F,SBD,31.5,56.5,57,105.0,60.0,137.5,302.5
F,SBD,,50.08,51.9,61.23,43.09,88.45,192.78
F,SBD,,50.44,51.9,74.84,31.75,77.11,183.7
M,SBD,36.0,126.0,120+,175.0,120.0,220.0,515.0
M,SBD,25.5,91.7,93,,140.0,255.0,
M,SBD,19.5,95.3,105,210.0,145.0,230.0,585.0
M,SBD,,60.0,60,212.5,145.0,210.0,567.5
F,SBD,,57.7,60.1,88.45,43.09,102.06,233.6
M,SBD,,103.0,105,187.5,95.0,210.0,492.5
F,SBD,,75.3,82.3,63.5,31.75,72.57,167.83
F,SBD,47.5,59.62,63,102.5,65.0,135.0,302.5
M,SBD,27.5,67.5,67.5,185.0,120.0,195.0,500.0
M,SBD,,112.5,120,132.5,85.0,162.5,380.0
M,D,17.0,108.15,110,,,235.0,235.0
M,SBD,,82.5,82.5,190.51,124.74,204.12,519.36
M,SBD,35.0,84.2,90,192.5,120.0,205.0,517.5
M,SBD,30.5,65.1,66,177.5,125.0,220.0,522.5
M,D,31.0,143.5,140+,,,250.0,250.0
M,SBD,,59.65,60,130.0,80.0,145.0,355.0
M,D,32.0,49.4,52,,,60.0,60.0
M,SBD,16.5,59.9,60,195.0,105.0,185.0,485.0
M,B,18.5,81.75,83,,180.0,,180.0
M,B,,102.7,110,,180.0,,180.0
M,B,28.0,109.36,120,,227.5,,227.5
M,SBD,39.0,98.7,100,285.0,165.0,300.0,750.0
M,SBD,36.0,95.8,100,212.5,150.0,245.0,607.5
F,SBD,,,,,,,
M,BD,20.5,89.2,93,,125.0,212.5,337.5
F,SBD,,68.76,75,133.81,63.5,129.27,326.59
F,SBD,,49.08,51.9,95.25,47.63,117.93,260.82
M,SBD,11.5,89.3,93,42.5,35.0,82.5,160.0
M,D,20.5,78.0,82.5,,,227.5,227.5
F,SBD,,50.35,51.9,97.52,40.82,92.99,231.33
F,SBD,,117.12,100+,147.42,63.5,131.54,342.46
M,SBD,17.5,69.6,75,182.5,122.5,217.5,522.5
F,SBD,,81.65,82.3,102.06,58.97,99.79,260.82
M,B,65.0,89.4,90,,130.0,,130.0
F,SBD,,55.97,56,92.99,40.82,122.47,256.28
F,SBD,,61.96,67.3,92.99,47.63,131.54,272.16
M,B,15.5,72.9,75,,135.0,,135.0
M,B,20.5,103.78,110,,200.0,,200.0
M,SBD,20.5,63.1,67.5,120.0,80.0,165.0,365.0
M,BD,,87.3,93,,25.0,55.0,80.0
M,SBD,,112.3,120,150.0,100.0,150.0,400.0
M,SBD,19.5,59.5,60,210.0,135.0,217.5,562.5
F,SBD,33.0,52.0,52,85.0,45.0,117.5,247.5
F,SBD,18.0,46.7,47.5,60.5,35.0,86.0,181.5
F,SBD,30.5,61.6,63,87.5,47.5,110.0,245.0
M,SBD,20.5,81.3,83,200.0,140.0,225.0,565.0
F,SBD,18.5,73.4,84,102.5,52.5,140.0,295.0
M,D,31.5,71.79,74,,,227.5,227.5
M,SBD,36.5,100.0,100,183.7,120.2,229.06,532.97
F,SBD,23.0,72.5,75,162.5,82.5,190.0,435.0
M,SBD,34.0,123.5,125,280.0,172.5,255.0,707.5
M,B,,102.2,110,,205.0,,205.0
M,B,26.0,98.2,100,,,,
M,SBD,21.5,92.0,93,232.5,132.5,242.5,607.5
M,B,,73.16,75,,160.0,,160.0
M,SBD,28.0,100.0,105,220.0,130.0,280.0,630.0
M,SBD,41.0,82.5,82.5,150.0,95.0,200.0,445.0
F,SBD,,67.13,67.3,104.33,40.82,99.79,244.94
M,SBD,,125.0,125,320.0,205.0,320.0,845.0
M,SBD,24.0,90.8,93,205.0,135.0,237.5,577.5
F,SBD,,72.12,75,188.24,102.06,163.29,453.59
M,SBD,,104.46,110,249.48,156.49,229.06,635.03
F,SBD,,55.25,56,70.31,34.02,95.25,199.58
F,SBD,16.0,72.9,75,102.5,62.5,130.0,295.0
M,SBD,,82.1,82.5,145.0,112.5,192.5,450.0
F,SBD,18.5,81.65,84,112.5,62.5,135.0,310.0
M,SBD,29.5,70.4,74,170.0,97.5,207.5,475.0
F,SBD,,50.12,51.9,65.77,38.56,86.18,190.51
M,B,29.0,103.2,110,,192.5,,192.5
M,SBD,62.0,98.0,100,220.0,127.5,235.0,582.5
M,B,26.5,82.5,83,,175.0,,175.0
M,B,24.5,73.1,75,,155.0,,155.0
M,SBD,18.0,83.5,93,182.5,155.0,210.0,547.5
M,SBD,15.5,64.38,66,85.0,82.5,117.5,285.0
M,B,26.0,107.8,110,,167.5,,167.5
M,SBD,18.5,90.0,93,150.0,95.0,190.0,435.0
M,B,54.5,104.18,105,,222.5,,222.5
M,B,20.0,85.5,90,,135.0,,135.0
M,B,20.5,74.9,75,,150.0,,150.0
M,D,16.0,72.5,75,,,120.0,120.0
M,SBD,34.0,108.45,110,360.0,240.0,,
M,SBD,49.0,110.0,110,220.0,172.5,250.0,642.5
F,SBD,,86.91,90,88.45,49.9,108.86,247.21
